Date & Time,Temperature,Clouds,Humidity,Barometer,Wind,Wind Direction
"Thursday, 1 January 2015, 00:00 — 06:00",9 / 5 °C,Fog,91%,1019 mbar,5 km/h,N
"Thursday, 1 January 2015, 06:00 — 12:00",15 / 5 °C,Passing clouds,70%,1021 mbar,11 km/h,NNE
"Thursday, 1 January 2015, 12:00 — 18:00",21 / 19 °C,Haze,41%,926 mbar,15 km/h,N
"Thursday, 1 January 2015, 18:00 — 00:00",19 / 12 °C,Clear,62%,1019 mbar,2 km/h,WNW
"Friday, 2 January 2015, 00:00 — 06:00",12 / 6 °C,Fog,89%,1019 mbar,2 km/h,WNW
"Friday, 2 January 2015, 06:00 — 12:00",19 / 5 °C,Fog,74%,1019 mbar,6 km/h,NNW
"Friday, 2 January 2015, 12:00 — 18:00",23 / 19 °C,Haze,30%,1018 mbar,6 km/h,WSW
"Friday, 2 January 2015, 18:00 — 00:00",18 / 11 °C,Fog,66%,1019 mbar,7 km/h,SE
"Saturday, 3 January 2015, 00:00 — 06:00",10 / 7 °C,Fog,100%,1019 mbar,5 km/h,SSE
"Saturday, 3 January 2015, 06:00 — 12:00",12 / 7 °C,Fog,98%,1019 mbar,4 km/h,W
"Saturday, 3 January 2015, 12:00 — 18:00",17 / 13 °C,Fog,81%,1018 mbar,6 km/h,W
"Saturday, 3 January 2015, 18:00 — 00:00",13 / 11 °C,Fog,92%,1019 mbar,5 km/h,SSE
"Sunday, 4 January 2015, 00:00 — 06:00",11 / 8 °C,Fog,100%,1020 mbar,2 km/h,ENE
"Sunday, 4 January 2015, 06:00 — 12:00",11 / 8 °C,Fog,97%,1022 mbar,5 km/h,N
"Sunday, 4 January 2015, 12:00 — 18:00",17 / 12 °C,Passing clouds,68%,1020 mbar,3 km/h,N
"Sunday, 4 January 2015, 18:00 — 00:00",14 / 9 °C,Fog,86%,1021 mbar,6 km/h,WSW
"Monday, 5 January 2015, 00:00 — 06:00",9 / 7 °C,Fog,100%,1020 mbar,7 km/h,WNW
"Monday, 5 January 2015, 06:00 — 12:00",10 / 7 °C,Fog,95%,1020 mbar,7 km/h,W
"Monday, 5 January 2015, 12:00 — 18:00",12 / 11 °C,Fog,83%,1017 mbar,7 km/h,W
"Monday, 5 January 2015, 18:00 — 00:00",11 / 9 °C,Fog,86%,1017 mbar,0 km/h,N
"Tuesday, 6 January 2015, 00:00 — 06:00",9 / 6 °C,Fog,91%,1016 mbar,1 km/h,W
"Tuesday, 6 January 2015, 06:00 — 12:00",11 / 6 °C,Fog,99%,1017 mbar,4 km/h,NW
"Tuesday, 6 January 2015, 12:00 — 18:00",14 / 12 °C,Passing clouds,79%,1015 mbar,5 km/h,W
"Tuesday, 6 January 2015, 18:00 — 00:00",13 / 10 °C,Fog,95%,1016 mbar,9 km/h,S
"Wednesday, 7 January 2015, 00:00 — 06:00",9 / 8 °C,Fog,100%,1016 mbar,5 km/h,ESE
"Wednesday, 7 January 2015, 06:00 — 12:00",12 / 7 °C,Fog,92%,1017 mbar,1 km/h,S
"Wednesday, 7 January 2015, 12:00 — 18:00",13 / 12 °C,Fog,82%,1016 mbar,2 km/h,ENE
"Wednesday, 7 January 2015, 18:00 — 00:00",13 / 10 °C,Fog,85%,1017 mbar,2 km/h,W
"Thursday, 8 January 2015, 00:00 — 06:00",10 / 8 °C,Fog,90%,1017 mbar,5 km/h,NNE
"Thursday, 8 January 2015, 06:00 — 12:00",N/A °C,No weather data availabl,0%,0 mbar,0 km/h,N
"Thursday, 8 January 2015, 12:00 — 18:00",14 / 13 °C,Fog,80%,1019 mbar,3 km/h,WNW
"Thursday, 8 January 2015, 18:00 — 00:00",12 / 9 °C,Fog,87%,1020 mbar,3 km/h,N
"Friday, 9 January 2015, 00:00 — 06:00",9 / 7 °C,Fog,93%,1020 mbar,4 km/h,ENE
"Friday, 9 January 2015, 06:00 — 12:00",10 / 7 °C,Fog,92%,1020 mbar,3 km/h,N
"Friday, 9 January 2015, 12:00 — 18:00",13 / 10 °C,Fog,80%,1020 mbar,7 km/h,NNW
"Friday, 9 January 2015, 18:00 — 00:00",9 / 7 °C,Fog,89%,1021 mbar,4 km/h,NE
"Saturday, 10 January 2015, 00:00 — 06:00",7 / 6 °C,Fog,91%,1020 mbar,4 km/h,N
"Saturday, 10 January 2015, 06:00 — 12:00",10 / 6 °C,Fog,87%,1020 mbar,6 km/h,N
"Saturday, 10 January 2015, 12:00 — 18:00",13 / 11 °C,Scattered clouds,70%,1018 mbar,4 km/h,W
"Saturday, 10 January 2015, 18:00 — 00:00",12 / 7 °C,Fog,86%,1020 mbar,3 km/h,ESE
"Sunday, 11 January 2015, 00:00 — 06:00",7 / 6 °C,Fog,100%,1019 mbar,1 km/h,E
"Sunday, 11 January 2015, 06:00 — 12:00",9 / 5 °C,Fog,98%,1020 mbar,1 km/h,NW
"Sunday, 11 January 2015, 12:00 — 18:00",12 / 9 °C,Fog,83%,1018 mbar,4 km/h,WSW
"Sunday, 11 January 2015, 18:00 — 00:00",10 / 7 °C,Fog,96%,1019 mbar,4 km/h,ESE
"Monday, 12 January 2015, 00:00 — 06:00",7 / 6 °C,Fog,100%,1020 mbar,7 km/h,SE
"Monday, 12 January 2015, 06:00 — 12:00",11 / 5 °C,Fog,96%,1020 mbar,8 km/h,ESE
"Monday, 12 January 2015, 12:00 — 18:00",14 / 11 °C,Fog,80%,1018 mbar,7 km/h,ESE
"Monday, 12 January 2015, 18:00 — 00:00",13 / 8 °C,Fog,86%,1019 mbar,9 km/h,ESE
"Tuesday, 13 January 2015, 00:00 — 06:00",7 / 6 °C,Fog,96%,1018 mbar,11 km/h,E
"Tuesday, 13 January 2015, 06:00 — 12:00",10 / 6 °C,Fog,94%,1019 mbar,9 km/h,ESE
"Tuesday, 13 January 2015, 12:00 — 18:00",13 / 11 °C,Fog,80%,1016 mbar,10 km/h,E
"Tuesday, 13 January 2015, 18:00 — 00:00",12 / 11 °C,Fog,92%,1016 mbar,14 km/h,NNE
"Wednesday, 14 January 2015, 00:00 — 06:00",10 / 9 °C,Thunderstorms. Mostly cloudy,96%,1015 mbar,11 km/h,ENE
