Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP16F877A -DL -O11111114 -fo8 -N"J:\upload edi\clock digital\ZZZZ CLOCK NEW\CLOCK C CODE FILE\dc.mcppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"J:\upload edi\clock digital\ZZZZ CLOCK NEW\CLOCK C CODE FILE\" -SP"C:\Program Files\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Program Files\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"K:\NEW FINISH\CLOCK PWM ANTHIMA\Digital Clock\Digital Clock\" -SP"M:\NEW FINISH\CLOCK PWM ANTHIMA\Digital Clock\Digital Clock\" -SP"E:\NEW FINISH\CLOCK PWM ANTHIMA\Digital Clock\Digital Clock\" -SP"C:\Users\HP\Downloads\CLOCK\New folder (11)\CLOCK PWM ANTHIMA\Digital Clock\Digital Clock\" -SP"C:\Users\HP\Downloads\CLOCK\New folder (11)\CLOCK PWM\Digital Clock\Digital Clock\" -SP"C:\Users\HP\Downloads\CLOCK\New folder (11)\Digital Clock\Digital Clock\" -SP"E:\Electronics\Embeded\Digital Clock\Digital Clock\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"F:\Electronics\Embeded\Digital Clock\" "dc.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_C.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl"	 
warning: 0	1501	Specified search path does not exist: 'C:\Program Files\Mikroelektronika\mikroC PRO for PIC\defs'	 
warning: 0	1501	Specified search path does not exist: 'C:\Program Files\Mikroelektronika\mikroC PRO for PIC\Uses\P16'	 
warning: 0	1501	Specified search path does not exist: 'K:\NEW FINISH\CLOCK PWM ANTHIMA\Digital Clock\Digital Clock'	 
warning: 0	1501	Specified search path does not exist: 'M:\NEW FINISH\CLOCK PWM ANTHIMA\Digital Clock\Digital Clock'	 
warning: 0	1501	Specified search path does not exist: 'E:\NEW FINISH\CLOCK PWM ANTHIMA\Digital Clock\Digital Clock'	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\HP\Downloads\CLOCK\New folder (11)\CLOCK PWM\Digital Clock\Digital Clock'	 
warning: 0	1501	Specified search path does not exist: 'E:\Electronics\Embeded\Digital Clock\Digital Clock'	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\defs'	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Uses\P16'	 
warning: 0	1501	Specified search path does not exist: 'F:\Electronics\Embeded\Digital Clock'	 
diagnostics: 0	125	All files Preprocessed in 171 ms	 
diagnostics: 0	121	Compilation Started	dc.c
diagnostics: 340	122	Compiled Successfully	dc.c
diagnostics: 0	126	All files Compiled in 578 ms	 
hint: 0	1140	Used RAM (bytes): 42 (12%)  Free RAM (bytes): 310 (88%)	Used RAM (bytes): 42 (12%)  Free RAM (bytes): 310 (88%)
hint: 0	1140	Used ROM (program words): 1147 (14%)  Free ROM (program words): 7045 (86%)	Used ROM (program words): 1147 (14%)  Free ROM (program words): 7045 (86%)
diagnostics: 0	124	Project Linked Successfully	dc.mcppi
diagnostics: 0	127	Linked in 1076 ms	 
diagnostics: 0	128	Project 'dc.mcppi' completed: 2933 ms	 
diagnostics: 0	103	Finished successfully: 07 Jan 2015, 18:10:41	dc.mcppi
