Date & Time,Temperature,Humidity,Barometer,Wind,Wind Direction,Clouds
"Thursday, 1 January 2015, 00:00 — 06:00",1,0,0,2,3,1
"Thursday, 1 January 2015, 06:00 — 12:00",1,2,0,1,5,1
"Thursday, 1 January 2015, 12:00 — 18:00",2,2,0,1,3,1
"Thursday, 1 January 2015, 18:00 — 00:00",2,2,0,2,14,0
"Friday, 2 January 2015, 00:00 — 06:00",1,0,0,2,14,1
"Friday, 2 January 2015, 06:00 — 12:00",1,2,0,2,6,1
"Friday, 2 January 2015, 12:00 — 18:00",2,2,0,2,15,1
"Friday, 2 January 2015, 18:00 — 00:00",1,2,0,2,9,1
"Saturday, 3 January 2015, 00:00 — 06:00",1,0,0,2,10,1
"Saturday, 3 January 2015, 06:00 — 12:00",1,0,0,2,13,1
"Saturday, 3 January 2015, 12:00 — 18:00",1,0,0,2,13,1
"Saturday, 3 January 2015, 18:00 — 00:00",1,0,0,2,10,1
"Sunday, 4 January 2015, 00:00 — 06:00",1,0,0,2,1,1
"Sunday, 4 January 2015, 06:00 — 12:00",1,0,0,2,3,1
"Sunday, 4 January 2015, 12:00 — 18:00",1,2,0,2,3,1
"Sunday, 4 January 2015, 18:00 — 00:00",1,0,0,2,15,1
"Monday, 5 January 2015, 00:00 — 06:00",1,0,0,2,14,1
"Monday, 5 January 2015, 06:00 — 12:00",1,0,0,2,13,1
"Monday, 5 January 2015, 12:00 — 18:00",1,0,0,2,13,1
"Monday, 5 January 2015, 18:00 — 00:00",1,0,0,2,3,1
"Tuesday, 6 January 2015, 00:00 — 06:00",1,0,0,2,13,1
"Tuesday, 6 January 2015, 06:00 — 12:00",1,0,0,2,7,1
"Tuesday, 6 January 2015, 12:00 — 18:00",1,0,0,2,13,1
"Tuesday, 6 January 2015, 18:00 — 00:00",1,0,0,2,8,1
"Wednesday, 7 January 2015, 00:00 — 06:00",1,0,0,2,2,1
"Wednesday, 7 January 2015, 06:00 — 12:00",1,0,0,2,8,1
"Wednesday, 7 January 2015, 12:00 — 18:00",1,0,0,2,1,1
"Wednesday, 7 January 2015, 18:00 — 00:00",1,0,0,2,13,1
"Thursday, 8 January 2015, 00:00 — 06:00",1,0,0,2,5,1
"Thursday, 8 January 2015, 12:00 — 18:00",1,0,0,2,14,1
"Thursday, 8 January 2015, 18:00 — 00:00",1,0,0,2,3,1
"Friday, 9 January 2015, 00:00 — 06:00",1,0,0,2,1,1
"Friday, 9 January 2015, 06:00 — 12:00",1,0,0,2,3,1
"Friday, 9 January 2015, 12:00 — 18:00",1,0,0,2,6,1
"Friday, 9 January 2015, 18:00 — 00:00",1,0,0,2,4,1
"Saturday, 10 January 2015, 00:00 — 06:00",1,0,0,2,3,1
"Saturday, 10 January 2015, 06:00 — 12:00",1,0,0,2,3,1
"Saturday, 10 January 2015, 12:00 — 18:00",1,2,0,2,13,1
"Saturday, 10 January 2015, 18:00 — 00:00",1,0,0,2,2,1
"Sunday, 11 January 2015, 00:00 — 06:00",1,0,0,2,0,1
"Sunday, 11 January 2015, 06:00 — 12:00",1,0,0,2,7,1
"Sunday, 11 January 2015, 12:00 — 18:00",1,0,0,2,15,1
"Sunday, 11 January 2015, 18:00 — 00:00",1,0,0,2,2,1
"Monday, 12 January 2015, 00:00 — 06:00",1,0,0,2,9,1
"Monday, 12 January 2015, 06:00 — 12:00",1,0,0,2,2,1
"Monday, 12 January 2015, 12:00 — 18:00",1,0,0,2,2,1
"Monday, 12 January 2015, 18:00 — 00:00",1,0,0,2,2,1
"Tuesday, 13 January 2015, 00:00 — 06:00",1,0,0,1,0,1
"Tuesday, 13 January 2015, 06:00 — 12:00",1,0,0,2,2,1
"Tuesday, 13 January 2015, 12:00 — 18:00",1,0,0,1,0,1
"Tuesday, 13 January 2015, 18:00 — 00:00",1,0,0,1,5,1
"Wednesday, 14 January 2015, 00:00 — 06:00",1,0,0,1,1,1
"Wednesday, 14 January 2015, 06:00 — 12:00",1,0,0,2,5,1
"Wednesday, 14 January 2015, 12:00 — 18:00",1,0,0,2,1,1
"Wednesday, 14 January 2015, 18:00 — 00:00",1,0,0,2,1,1
"Thursday, 15 January 2015, 00:00 — 06:00",1,0,0,2,5,1
"Thursday, 15 January 2015, 06:00 — 12:00",1,0,0,2,5,1
"Thursday, 15 January 2015, 12:00 — 18:00",2,2,0,2,6,0
"Thursday, 15 January 2015, 18:00 — 00:00",1,2,0,2,14,0
"Friday, 16 January 2015, 00:00 — 06:00",1,0,0,2,14,0
"Friday, 16 January 2015, 06:00 — 12:00",1,2,0,1,6,0
"Friday, 16 January 2015, 12:00 — 18:00",2,2,0,1,13,0
"Friday, 16 January 2015, 18:00 — 00:00",2,2,0,2,13,0
"Saturday, 17 January 2015, 00:00 — 06:00",1,2,0,2,14,0
"Saturday, 17 January 2015, 06:00 — 12:00",1,2,0,2,14,1
"Saturday, 17 January 2015, 12:00 — 18:00",2,2,0,1,7,1
"Saturday, 17 January 2015, 18:00 — 00:00",2,2,0,2,13,0
"Sunday, 18 January 2015, 00:00 — 06:00",1,0,0,2,13,0
"Sunday, 18 January 2015, 06:00 — 12:00",1,2,0,2,14,1
"Sunday, 18 January 2015, 12:00 — 18:00",2,2,0,1,14,0
"Sunday, 18 January 2015, 18:00 — 00:00",2,2,0,2,11,0
"Monday, 19 January 2015, 00:00 — 06:00",1,0,0,2,3,0
"Monday, 19 January 2015, 06:00 — 12:00",1,2,0,2,13,0
"Monday, 19 January 2015, 12:00 — 18:00",2,2,0,2,13,1
"Monday, 19 January 2015, 18:00 — 00:00",1,2,0,2,12,0
"Tuesday, 20 January 2015, 00:00 — 06:00",1,0,0,2,3,0
"Tuesday, 20 January 2015, 06:00 — 12:00",1,0,0,2,9,1
"Tuesday, 20 January 2015, 12:00 — 18:00",1,0,0,1,9,0
"Tuesday, 20 January 2015, 18:00 — 00:00",1,0,0,1,2,1
"Wednesday, 21 January 2015, 00:00 — 06:00",1,0,0,1,2,1
"Wednesday, 21 January 2015, 06:00 — 12:00",1,0,0,1,0,1
"Wednesday, 21 January 2015, 12:00 — 18:00",1,2,0,1,2,1
"Wednesday, 21 January 2015, 18:00 — 00:00",1,0,0,1,2,1
"Thursday, 22 January 2015, 00:00 — 06:00",1,0,0,2,4,1
"Thursday, 22 January 2015, 06:00 — 12:00",1,0,0,2,3,1
"Thursday, 22 January 2015, 12:00 — 18:00",2,2,0,1,2,1
"Thursday, 22 January 2015, 18:00 — 00:00",1,0,0,1,9,1
"Friday, 23 January 2015, 00:00 — 06:00",1,0,0,2,9,1
